2298,Michael Cina,"What&#8217;s the hardest thing to communicate? The hardest thing <em>is</em> to communicate.
",https://quotesondesign.com/michael-cina/
2296,Josh Collinsworth,"Choosing a typeface is an act of subtlety, like casting an actor: the best person to play a gardener is somebody who looks like they might belong outdoors — not somebody who is covered in flowers and shrubbery.
",https://quotesondesign.com/josh-collinsworth-4/
2294,Josh Collinsworth,"You do not need to have a great idea before you can begin working; you need to begin working before you can have a great idea.
",https://quotesondesign.com/josh-collinsworth-3/
2291,Victor Papanek,"Any attempt to separate design, to make it a thing-by-itself, works counter to the inherent value of design as the primary, underlying matrix of life.
",https://quotesondesign.com/victor-papanek-4/
2288,Victor Papanek,"Design for many instead of designing for money.
",https://quotesondesign.com/victor-papanek-3/
2285,Josh Collinsworth,"You can be misunderstood exactly once. After that, you are not being misunderstood; you are communicating poorly.
",https://quotesondesign.com/josh-collinsworth-2/
2283,Josh Collinsworth,"If you haven&#8217;t surprised yourself yet, you haven&#8217;t done enough sketching.
",https://quotesondesign.com/josh-collinsworth/
2276,Michael Stinson,"Just let the type just do what it does.
",https://quotesondesign.com/michael-stinson/
2273,Bill Bernbach,"Just because your ad looks good is no insurance that it will get looked at. How many people do you know who are impeccably groomed&#8230; but dull?
",https://quotesondesign.com/bill-bernbach-5/
2271,Bill Bernbach,"I warn you against believing that advertising is a science.
",https://quotesondesign.com/bill-bernbach-4/
2269,Bill Bernbach,"Rules are what the artist breaks; the memorage never emerged from a formula.
",https://quotesondesign.com/bill-bernbach-3/
2267,Bill Bernbach,"We are so busying measuring public opinion that we forget we can mold it. We are so busy listening to statistics we forget we can create them.
",https://quotesondesign.com/bill-bernbach-2/
2264,Alexander Isley,"A brand is the promise of an experience.
",https://quotesondesign.com/alexander-isley-4/
2262,Unknown,"Not everyone notices the flowers you plant, but everyone will notice the fire you start.
",https://quotesondesign.com/unknown-3/
2259,Richard Saul Wurman,"Most of what we see that we call information doesn&#8217;t inform, and most questions do not have a quest.
",https://quotesondesign.com/richard-saul-wurman/
2254,Kid Rock,"If it sounds good, you&#8217;ll hear it. If it looks good, you&#8217;ll see it. If it&#8217;s marketed right, you&#8217;ll buy it. But if it&#8217;s real, you&#8217;ll feel it.
",https://quotesondesign.com/kid-rock/
2251,Melissa Sisco,"Design is more about the process than it is about the resulting prettiness.
",https://quotesondesign.com/melissa-sisco/
2247,Randall Munroe,"When designing an interface, imagine that your program is all that stands between the user and hot, sweaty, tangled-bedsheets-fingertips-digging-into-the-back sex.
",https://quotesondesign.com/randall-munroe-2/
2245,Saul Bass,"If I do my job well, the identity program will also clean up the image of the company, position it as being contemporary and keep it from ever looking dated.
",https://quotesondesign.com/saul-bass-4/
2243,Paul Rand,"Innovation leads one to see the new in the old and distinguishes the ingenious from the ingenuous.
",https://quotesondesign.com/paul-rand-12/
2240,Samadara Ginige,"Design is everywhere. From the dress you’re wearing to the smartphone you’re holding, it&#8217;s design.
",https://quotesondesign.com/samadara-ginige-2/
2237,Wim Hovens,"Good design is in all the things you notice. Great design is in all the things you don&#8217;t.
",https://quotesondesign.com/wim-hovens/
2235,Jonathan Ive,"Objects and their manufacture are inseparable, you understand a product if you understand how it&#8217;s made.
",https://quotesondesign.com/jonathan-ive-3/
2233,Kyle Matthew Hansen,"Complexity is the enemy of reliability.
",https://quotesondesign.com/kyle-matthew-hansen/
2231,Stefan Sagmeister,"Work your ass off. Don&#8217;t be an asshole.
",https://quotesondesign.com/stefan-sagmeister-4/
2228,Michelangelo,"If you knew how much work went into it, you would not call it genius.
",https://quotesondesign.com/michelangelo/
2226,Steven Brust,"Don’t explain why it works; explain how you use it.
",https://quotesondesign.com/steven-brust/
2224,Georgia O’Keeffe,"To see takes time.
",https://quotesondesign.com/georgia-okeeffe-2/
2222,Martin Scorsese,"There is no such thing as simple. Simple is hard.
",https://quotesondesign.com/martin-scorsese/
2220,Chad Mazzola,"Nobody ever get fired for running an A/B test.
",https://quotesondesign.com/chad-mazzola/
2218,Richard Cecil,"Eloquence is vehement simplicity.
",https://quotesondesign.com/richard-cecil/
2216,Carol Gilligan,"Theory can blind observation.
",https://quotesondesign.com/carol-gilligan/
2214,GZA,"Where I come from, gettin&#8217; visual is habitual.
",https://quotesondesign.com/gza/
2212,Arman Nobari,"All things are designed, just some things more thoughtfully than others.
",https://quotesondesign.com/arman-nobari-3/
2209,Dmitry Fadeyev,"If we have trouble using something then it’s probably because that thing is badly designed, rather than us being stupid.
",https://quotesondesign.com/dmitry-fadeyev-2/
2207,Robert Nealan,"Man up, admit it isn’t good enough, and fix it now.
",https://quotesondesign.com/robert-nealan/
2205,Mark King,"Design is the body language of your marketing. Don’t slouch.
",https://quotesondesign.com/mark-king/
2202,Havoc Pennington,"In the presence of good rationale, maintainers should be willing to change their mind often.
",https://quotesondesign.com/havoc-pennington/
2199,Robert Brunner,"Five years ago, the heroes were technologists. Today, the heroes are designers building out a user experience. You can have the most amazing technology in the world, but if it&#8217;s not put in a form that&#8217;s useful and desirable, you won&#8217;t be successful.
",https://quotesondesign.com/robert-brunner/
2197,Neil Gaiman,"You have to finish things — that’s what you learn from, you learn by finishing things.
",https://quotesondesign.com/neil-gaiman-2/
2194,Chuck Jones,"The whole essence of good drawing—and of good thinking, perhaps—is to work a subject down to the simplest form possible and still have it believable for what it is meant to be.
",https://quotesondesign.com/chuck-jones/
2192,Barry Roos,"To ignore social media would be like early man ignoring fire.
",https://quotesondesign.com/barry-roos/
2189,Mike Monteiro,"A good designer finds an elegant way to put everything you need on a page. A great designer convinces you half that shit is unnecessary.
",https://quotesondesign.com/mike-monteiro-2/
2187,Michael Gagliano,"Technology makes what was once impossible possible. Design makes it real.
",https://quotesondesign.com/michael-gagliano/
2184,Joe Sparano,"Design is content with intent. Content without intent is noise. Intent without content is decoration.
",https://quotesondesign.com/joe-sparano-2/
2182,Raymond Loewy,"Success finally came when we were able to convince some creative men that good appearance was a salable commodity, that it often cut costs, enhanced a product&#8217;s prestige, raised corporate profits, benefited the customer and increased employment.
",https://quotesondesign.com/raymond-loewy-2/
2180,Vanessa Workoff,"Write it down. You will lose thoughts, you thought, that you thought.
",https://quotesondesign.com/vanessa-workoff/
2177,Nicholas Burroughs,"Minimalism is not a lack of something. It’s simply the perfect amount of something.
",https://quotesondesign.com/nicholas-burroughs-3/
2175,Mat Marquis,"Some people want their paychecks and to go home, and that’s fine. You and me, though—we’re gonna work harder than they do. We’ll build things that ensure that entire populations just setting foot on the web for the first time can tap into the collected knowledge of the whole of mankind.
",https://quotesondesign.com/mat-marquis/
2173,Drory Ben-Menachem,"You don&#8217;t have to be &#8220;a creative&#8221; to be creative.
",https://quotesondesign.com/drory-ben-menachem/
2170,Jeff Bezos,"If you never want to be criticized, for goodness&#8217; sake don&#8217;t do anything new.
",https://quotesondesign.com/jeff-bezos/
